feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,gt
0.5027916,-0.34937322,-0.068018,-0.62753296,0.1303307,0.3734882,-0.4910882,0.4167531,-0.046255298,0.32556552,-0.4039076,0.16320989,0.24012877,0.005427111,0.09786463,-0.18360071,-0.2906006,-0.058249626,0.89988524,-0.091668405,0.20663793,-0.6556466,-0.29124856,0.37453884,-0.6056011,0.5792264,-0.11924112,0.185425,-0.25519392,0.7054149,-0.027760813,0.5812765,0
0.7416457,-0.24019414,-0.0065479507,-0.6391294,-0.059523772,0.4570868,-0.5007325,0.34512848,-0.040394645,0.3349458,-0.41329026,0.25087494,0.14323965,0.029419396,0.062095117,0.1340123,0.0632271,-0.15856628,0.9261704,-0.15200606,0.54658586,-0.69713724,-0.26464,0.35385084,-0.65162873,0.12901445,-0.034722853,0.39257485,-0.28992826,0.38089067,-0.1571092,0.74223125,0
2.8366172,1.2567811,2.2279003,-0.6037277,0.20040324,1.3666849,-0.6668643,1.1567495,-0.004516408,0.7678389,0.28407854,0.71611875,-0.1945682,0.16998197,-0.032259483,1.2707605,0.4921413,0.23246974,1.4805833,1.760509,1.2591442,-0.7476881,-0.46273315,0.2654527,-0.76224595,-0.33147588,0.051758066,1.2550336,-0.52906406,1.4122834,1.182029,3.0467913,0
2.5769958,1.7849195,3.1661022,-0.5399029,0.10895383,1.7736219,-0.7084879,2.6796381,-0.31346864,1.8176758,-0.33210763,2.0021544,0.55793655,-0.082489096,0.11855091,-0.363005,-0.61848176,1.6687695,2.0874937,3.7984383,0.80393696,-0.39685494,-0.66267776,0.29500633,-0.866968,2.2035842,-0.42808247,-0.3683961,-0.3987435,4.0437803,2.281445,5.0659957,0
1.6145043,1.1035439,0.75560534,-0.5614344,-0.5517082,0.93658596,-0.57569313,0.53332114,0.033991434,0.9801262,-0.30759904,0.8083335,-0.2724012,0.10741015,-0.09681231,0.94482803,1.2718674,-0.280443,0.97570914,0.522034,1.9058892,-0.65239674,-0.2731318,0.15544817,-0.82557356,-0.6276749,0.06046626,0.81561685,-0.4347807,0.040880755,-0.15286142,2.1916378,0
1.3804256,0.7044399,2.1375616,-0.47441718,0.5262626,1.2112038,-0.5869334,1.5934576,-0.30938846,1.1753411,0.17838892,1.1157658,0.48695204,-0.0025173167,0.22444728,-0.5049469,-0.72486055,1.1287991,0.9152257,2.7719707,-0.12597132,-0.47746217,-0.62838435,0.34785244,-0.70540476,2.125172,-0.3772551,-0.3889086,-0.39142895,3.0960982,1.7987803,2.9944985,0
-0.06304816,0.79355025,0.4761557,-0.22805169,-0.30406925,0.46339172,-0.4845176,-0.12396999,-0.026290761,1.2409022,0.48068866,0.5374371,-0.17496859,-0.110186696,0.097182885,-0.33886474,0.24041851,-0.3239858,-0.3850407,0.790712,0.65822494,-0.34960777,-0.40896088,0.19390906,-0.6941121,-0.053846676,-0.14222667,-0.3511971,-0.41560048,0.16469467,-0.087266095,1.1363407,0
-0.29017127,1.0625296,0.2599894,0.101906136,-0.3571125,0.18611,-0.38177153,-0.5783985,0.07105593,1.0577297,0.80810297,0.07515027,-0.31810257,-0.11764779,0.067790255,-0.029404368,0.6293589,-0.57595605,-0.6438304,0.41949365,0.66062915,-0.22123203,-0.30120504,0.042993233,-0.56932485,-0.62618536,0.0045349076,-0.10877764,-0.46589983,-0.6008775,-0.3698597,0.42250448,0
1.500149,1.30946,1.3465067,-0.536384,-0.5279062,1.199974,-0.596429,1.3769186,-0.10973781,1.6083558,-0.3276447,1.434637,-0.10905547,0.017901417,0.00276066,0.08520199,0.5642938,0.33940482,1.0770743,1.6588683,1.6477945,-0.503292,-0.48563445,0.14093778,-0.8692375,0.44323978,-0.1521185,-0.0485638,-0.391414,1.4106511,0.50560915,3.2159734,0
2.0806208,1.2181147,1.569579,-0.6336044,-0.43514043,1.2919669,-0.6479914,1.7727346,-0.12059208,1.3723631,-0.57972383,1.478779,0.10123205,0.0015689246,-0.029876098,0.34381163,0.34926677,0.63645786,1.8807842,1.6634245,1.5809516,-0.5742406,-0.45380646,0.20225649,-0.8740664,0.58983624,-0.15811695,0.25822908,-0.34651482,1.8206844,0.77160084,3.5510588,0
1.178725,0.7233865,0.27061486,-0.5212186,-0.46473297,0.6017329,-0.5326174,-0.16605379,0.09323818,0.5630408,-0.1577581,0.29580975,-0.28378588,0.08486057,-0.08959428,1.0604448,1.2933632,-0.505965,0.55826116,-0.16556993,1.5705942,-0.6795433,-0.12695163,0.1824136,-0.74303627,-0.7792406,0.12961456,0.9738694,-0.44172037,-0.51649857,-0.42075303,1.1377391,0
0.21408999,-0.013522262,0.5475814,-0.46352232,0.2715772,0.506845,-0.48310468,0.39763227,-0.12549956,0.80429965,0.22427426,0.38940722,0.16841803,-0.051090844,0.19956666,-0.47141474,-0.48638126,0.09282154,0.13110007,0.87027407,-0.1075788,-0.5338728,-0.4820503,0.36608952,-0.5844434,1.0013536,-0.21672422,-0.30986768,-0.32953212,1.149849,0.45899084,1.0098025,0
0.05068157,0.901611,1.7706825,0.61702645,1.1906297,0.3032752,-0.3675055,-0.551501,-0.09620698,0.47016874,2.224158,-0.38500193,-0.064570665,0.057939272,0.18056276,-0.28169107,-0.61374223,-0.25520363,-0.7967082,2.080593,-0.70517874,-0.1413117,-0.5779127,0.16355622,0.48276067,0.22338256,-0.17498648,-0.04283064,-0.5919993,0.6943877,1.288805,0.21113916,0
0.7634206,-0.28912967,0.70756656,-0.5919723,0.5696308,0.56327105,-0.5103593,0.59485406,-0.15056792,0.3676402,0.0033858987,0.21844879,0.32013825,-0.0015148844,0.17424491,-0.2518336,-0.5714444,0.24376437,0.6843731,0.75411904,-0.22098541,-0.66973054,-0.445362,0.40375972,-0.53348726,1.0374511,-0.18544824,0.064855576,-0.33130148,1.3955082,0.6626147,0.9789597,0
