feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,gt
-0.9008461,0.10258658,-0.39781374,0.11279599,2.5880964,-0.19275448,-0.96831065,-0.49088633,-0.87209916,-0.28841105,2.7261353,-0.7485535,-0.09161124,4.610056,0.16425923,-0.66449183,-0.7359673,3.0510771,6.1226172,3.551898,-0.19404888,0.20224804,5.745596,2.5414314,1.7391025,0.16606608,4.584869,-0.10703139,-0.9139903,-0.6864164,-0.36808515,-0.8705449,0
-0.8388681,0.039975893,-0.38710093,0.05541332,2.0668736,-0.22694771,-0.94741607,-0.47281682,-0.8553875,-0.20710132,2.0372732,-0.72442794,-0.043088734,3.4882915,0.13539955,-0.6092611,-0.7220218,2.2059667,4.310314,2.4581199,-0.08641675,0.16430426,4.2026157,1.9917215,1.2597446,0.06505832,3.0197904,-0.110632956,-0.89002264,-0.61162513,-0.2982355,-0.8552077,0
-0.8149612,-0.010184246,-0.39714676,0.09271346,1.8974539,-0.26938653,-0.9452851,-0.44957858,-0.84970456,-0.15117864,1.7396034,-0.71696335,-0.058818486,3.2678397,0.15380326,-0.5746578,-0.7162282,1.9434066,3.7257223,2.0747542,-0.03314754,0.21129245,3.803454,1.8229781,1.105511,0.065352954,2.5006807,-0.05273002,-0.8856906,-0.58334637,-0.21813992,-0.85645586,0
-0.110469654,0.027849447,-0.044310153,-0.0053431336,0.17783104,-0.23209181,-0.56270015,-0.40071288,-0.552356,0.037348926,-0.3574786,-0.47226247,0.0023732334,-0.5240741,-0.14381249,-0.40345597,-0.4743773,-0.58267623,-0.7871136,-0.6339403,0.10306667,-0.09213467,-0.7108262,-0.09836721,-0.37031776,-0.12300763,-0.8613137,0.10683972,-0.48366946,-0.2241641,0.14732084,-0.6150513,0
-0.6263135,-0.09198517,-0.3737561,-0.005083204,1.172486,-0.31486827,-0.88504595,-0.41258654,-0.81872874,-0.012022213,0.76037645,-0.6741968,0.02291584,1.6234999,0.107085615,-0.47343695,-0.6917968,0.72231686,1.1239798,0.5203676,0.13998316,0.15416431,1.5577246,1.0303481,0.421886,-0.06802894,0.25898355,-0.05715753,-0.8340786,-0.4410664,-0.09987423,-0.82953906,0
-0.94144756,0.16543843,-0.39204866,0.20517193,3.134455,-0.16105697,-0.98205805,-0.4990606,-0.88478833,-0.3412875,3.4250116,-0.7660825,-0.14587478,5.781518,0.20478976,-0.7159037,-0.73927355,3.9234393,7.9949737,4.700386,-0.30210286,0.24501714,7.3635077,3.1154947,2.2320035,0.28921407,6.179787,-0.05208578,-0.93260705,-0.75399405,-0.4152746,-0.88561755,0
-0.6243876,-0.08068691,-0.3666225,-0.04986473,1.1924012,-0.295711,-0.8772782,-0.4294714,-0.8185194,-0.060945857,0.82556605,-0.6810018,0.028363615,1.5603919,0.08376065,-0.48553362,-0.6932798,0.74534804,1.1920391,0.5664029,0.13687421,0.11857037,1.5445956,1.04535,0.4203011,-0.07134431,0.3283873,-0.09986417,-0.8312467,-0.43613687,-0.15784843,-0.8249383,0
-0.3609671,-0.055136196,-0.22273687,0.08735256,0.5210529,-0.2976901,-0.79006773,-0.48582244,-0.74581045,0.10683203,-0.12846753,-0.6016691,-0.0016892871,-0.0026443398,-0.02944239,-0.4766866,-0.6312358,-0.38556063,-0.604298,-0.5224194,0.15422365,-0.048371747,-0.31021354,0.24926151,-0.19548148,-0.13225673,-0.8006645,0.101134,-0.7204962,-0.2862639,0.1404251,-0.7674026,0
-0.3132115,-0.053252608,-0.2201833,0.105120406,0.46079752,-0.31119752,-0.7728207,-0.47372633,-0.72430104,0.11322883,-0.22307092,-0.57971466,-0.011707759,-0.11885834,-0.05774295,-0.44732514,-0.6073269,-0.45033747,-0.6681098,-0.58031106,0.15804353,-0.021047745,-0.43088767,0.17307691,-0.23096861,-0.14283994,-0.83022636,0.12638587,-0.69416416,-0.24143654,0.18411584,-0.7600705,0
1.3533261,-0.0341938,0.27729884,-0.47184318,-0.8097939,0.6729505,2.717927,0.9285405,1.8973643,-0.23377347,-0.6138679,1.3346732,-0.38795358,-0.88434035,-0.38373837,1.1963636,1.3791642,-0.7581149,-0.90566623,-0.7339431,0.12872425,0.08881858,-0.92148566,-0.78213584,-0.50215924,0.089401804,-0.46823698,-0.19467983,2.0135062,0.28896004,-0.0011212421,1.8404727,0
-0.7929709,-0.02644885,-0.41131905,0.026260719,1.8309577,-0.2676886,-0.93597895,-0.44236842,-0.85363317,-0.17310086,1.6870633,-0.7261857,-0.03713566,3.0589035,0.14465329,-0.5496134,-0.72711635,1.8418882,3.435289,1.8877692,-0.0021348519,0.1792519,3.5174515,1.7453487,1.0327119,-0.0032777966,2.282729,-0.12783746,-0.8854188,-0.56280196,-0.258864,-0.85603946,0
-0.6020764,-0.091625206,-0.360025,-0.025322478,1.102037,-0.3003889,-0.875679,-0.4313584,-0.8171079,-0.03611488,0.68165004,-0.680336,0.021674812,1.4424094,0.08824763,-0.46950668,-0.6890195,0.6083774,0.91259134,0.3716033,0.14761661,0.11264107,1.3684313,0.9561876,0.3358291,-0.07635508,0.08095351,-0.062523134,-0.82614243,-0.4127619,-0.11227902,-0.8239335,0
-0.5891807,-0.076227695,-0.34629136,-0.025688292,1.0633402,-0.30534098,-0.8704168,-0.43204147,-0.8110736,-0.012422968,0.60711086,-0.667691,0.033700347,1.3086543,0.090844125,-0.47460067,-0.6847098,0.5179298,0.73866916,0.2946808,0.1460535,0.110595435,1.2133449,0.8927972,0.29780415,-0.06385579,-0.06377314,-0.0389606,-0.8168658,-0.4108325,-0.0853462,-0.8178915,0
